Category: All categories

Month,data science: (Worldwide)
2004-01,14
2004-02,17
2004-03,13
2004-04,14
2004-05,11
2004-06,15
2004-07,13
2004-08,12
2004-09,9
2004-10,8
2004-11,11
2004-12,7
2005-01,12
2005-02,12
2005-03,13
2005-04,11
2005-05,13
2005-06,9
2005-07,8
2005-08,7
2005-09,14
2005-10,10
2005-11,8
2005-12,7
2006-01,11
2006-02,8
2006-03,9
2006-04,10
2006-05,7
2006-06,9
2006-07,6
2006-08,8
2006-09,8
2006-10,9
2006-11,9
2006-12,6
2007-01,9
2007-02,9
2007-03,7
2007-04,9
2007-05,7
2007-06,5
2007-07,6
2007-08,7
2007-09,8
2007-10,9
2007-11,8
2007-12,7
2008-01,8
2008-02,8
2008-03,8
2008-04,7
2008-05,7
2008-06,7
2008-07,6
2008-08,6
2008-09,9
2008-10,7
2008-11,8
2008-12,5
2009-01,9
2009-02,8
2009-03,8
2009-04,8
2009-05,6
2009-06,6
2009-07,6
2009-08,6
2009-09,9
2009-10,8
2009-11,9
2009-12,8
2010-01,10
2010-02,8
2010-03,8
2010-04,8
2010-05,8
2010-06,7
2010-07,6
2010-08,6
2010-09,10
2010-10,7
2010-11,9
2010-12,7
2011-01,8
2011-02,9
2011-03,8
2011-04,7
2011-05,8
2011-06,7
2011-07,6
2011-08,7
2011-09,10
2011-10,8
2011-11,8
2011-12,6
2012-01,9
2012-02,9
2012-03,9
2012-04,8
2012-05,8
2012-06,8
2012-07,7
2012-08,9
2012-09,13
2012-10,11
2012-11,9
2012-12,9
2013-01,11
2013-02,11
2013-03,10
2013-04,12
2013-05,13
2013-06,11
2013-07,9
2013-08,13
2013-09,16
2013-10,14
2013-11,13
2013-12,14
2014-01,17
2014-02,17
2014-03,16
2014-04,16
2014-05,17
2014-06,16
2014-07,16
2014-08,20
2014-09,24
2014-10,22
2014-11,22
2014-12,20
2015-01,24
2015-02,24
2015-03,24
2015-04,26
2015-05,25
2015-06,26
2015-07,26
2015-08,31
2015-09,34
2015-10,34
2015-11,31
2015-12,30
2016-01,36
2016-02,36
2016-03,35
2016-04,36
2016-05,36
2016-06,36
2016-07,36
2016-08,40
2016-09,49
2016-10,44
2016-11,46
2016-12,44
2017-01,55
2017-02,54
2017-03,59
2017-04,57
2017-05,58
2017-06,58
2017-07,57
2017-08,62
2017-09,69
2017-10,69
2017-11,71
2017-12,65
2018-01,77
2018-02,75
2018-03,78
2018-04,78
2018-05,78
2018-06,75
2018-07,78
2018-08,85
2018-09,90
2018-10,93
2018-11,87
2018-12,82
2019-01,100
2019-02,98
